date,Wyoming,West Virginia,Oklahoma,Idaho,North Dakota,Vermont,Massachusetts,Hawaii,Maryland,California
9/9/20,4151,11808,65929,34707,14114,1656,123143,10228,114070,749196
9/10/20,4199,12017,66700,35027,14446,1661,123546,10397,114574,753017
9/11/20,4264,12174,67642,35354,14687,1668,123986,10567,115217,757125
9/12/20,4297,12521,68659,35588,15154,1677,124540,10696,115876,760581
9/13/20,4346,12699,69354,35693,15580,1684,124826,10808,116600,763389
9/14/20,4392,12820,70223,35984,15834,1696,125080,10887,117147,767062
9/15/20,4438,12976,71314,36306,16067,1702,125393,10951,117745,769917
9/16/20,4566,13196,72284,36594,16336,1702,125699,11052,118387,773318
9/17/20,4652,13430,73318,36924,16726,1705,126128,11211,119017,776944
9/18/20,4747,13683,74567,37358,17233,1706,126582,11348,119559,781436
9/19/20,4780,13874,75804,37624,17610,1710,127181,11457,120107,785076
9/20/20,4871,14054,76807,37768,17961,1715,127540,11534,120656,788077
9/21/20,4944,14171,77908,38196,18247,1719,127796,11590,121068,792217
9/22/20,5016,14384,79072,38676,18511,1721,127969,11653,121409,795077
9/23/20,5169,14504,80161,39030,18984,1722,128512,11820,121793,798350
9/24/20,5305,14706,81244,39547,19454,1724,128993,11908,122293,801671
9/25/20,5420,14953,82520,40228,19888,1731,129481,12039,122850,805733
9/26/20,5465,15158,83510,40411,20383,1739,130050,12166,123328,809214
9/27/20,5633,15348,84333,40501,20727,1742,130642,12264,123895,811698
9/28/20,5754,15512,85194,41386,20986,1745,131072,12351,124371,814796
9/29/20,5821,15692,86219,41854,21404,1749,131584,12436,124805,817939
9/30/20,5948,15848,87199,42549,21849,1752,132116,12555,125217,821125
10/1/20,6083,16024,88369,42915,22221,1755,132870,12660,125997,824306
10/2/20,6214,16307,89559,43528,22697,1768,133631,12754,126711,828364
10/3/20,6365,16468,90748,43702,23137,1778,134303,12887,127194,831494
10/4/20,6504,16628,91317,43964,23553,1785,134947,12957,127785,834635
10/5/20,6629,16742,91982,44832,23865,1817,135462,13007,128277,837720
10/6/20,6770,16936,93346,45487,24368,1821,135957,13090,128691,840322
10/7/20,6899,17139,94352,46233,24861,1827,136492,13196,129158,843732
10/8/20,7092,17325,95564,46848,25388,1838,136936,13297,129919,847384
10/9/20,7335,17707,97088,47674,26044,1846,137701,13461,130652,851228
10/10/20,7455,17913,98621,47927,26632,1857,138340,13532,131169,854302
10/11/20,7611,18128,99387,48155,27269,1868,138903,13633,131853,857076
10/12/20,7802,18281,100184,48663,27742,1876,139663,13675,132357,859959
10/13/20,7964,18555,101493,49987,28250,1886,140412,13736,132839,863614
10/14/20,8177,18818,102615,50534,28952,1889,140992,13834,133413,867094
10/15/20,8375,19082,103836,51471,29658,1903,141579,13922,134042,870380
10/16/20,8665,19580,105308,52234,30522,1915,142346,14007,134822,874101
10/17/20,8816,19801,106503,52582,31266,1926,142930,14101,135463,876257
10/18/20,9025,20081,107299,53092,31983,1937,143660,14183,136149,878394
10/19/20,9311,20293,108073,54123,32642,1946,144488,14218,136643,882665
10/20/20,9526,20519,109548,55153,33671,1956,145464,14302,137229,887093
10/21/20,9848,20734,110855,55922,34170,1971,146166,14379,137720,890153
10/22/20,10119,21057,112483,56944,35057,1987,147215,14478,138473,896424
10/23/20,10545,21392,113856,58083,35944,2016,148285,14617,139185,902325
10/24/20,10805,21712,115685,58964,36879,2043,149488,14706,139859,906644
10/25/20,11041,21906,116736,59344,37724,2073,150565,14823,140770,909344
10/26/20,11477,22223,117399,60400,38246,2083,151777,14858,141334,913699
10/27/20,11806,22706,118409,61282,39135,2113,153037,14920,142237,918627
10/28/20,12146,23064,119152,62197,39912,2120,154218,14975,142918,922680
10/29/20,12507,23466,120193,63195,41135,2141,155564,15046,143875,926893
10/30/20,13028,23990,121495,64175,42488,2155,157146,15145,144800,931826
10/31/20,13298,24460,122762,64797,43921,2179,158576,15207,145593,935248
11/1/20,13723,24883,124111,65272,45048,2196,159707,15287,146627,938883
11/2/20,14167,25235,125195,66249,46020,2219,160549,15359,147477,944141
