date,DNK,FIN,NOR,SWE
2021-01-25,2011.0,655.0,548.0,11005.0
2021-01-26,2031.0,655.0,550.0,11247.0
2021-01-27,2051.0,660.0,556.0,11425.0
2021-01-28,2072.0,664.0,557.0,11520.0
2021-01-29,2085.0,671.0,564.0,11591.0
2021-01-30,2107.0,671.0,564.0,11591.0
2021-01-31,2126.0,671.0,564.0,11591.0
2021-02-01,2146.0,677.0,567.0,11591.0
2021-02-02,2161.0,684.0,568.0,11815.0
2021-02-03,2171.0,685.0,574.0,11939.0
2021-02-04,2185.0,688.0,582.0,12028.0
2021-02-05,2202.0,688.0,582.0,12115.0
2021-02-06,2216.0,688.0,582.0,12115.0
2021-02-07,2217.0,688.0,582.0,12115.0
2021-02-08,2217.0,688.0,582.0,12115.0
2021-02-09,2245.0,703.0,583.0,12188.0
2021-02-10,2256.0,703.0,592.0,12326.0
2021-02-11,2270.0,708.0,592.0,12370.0
2021-02-12,2281.0,710.0,592.0,12428.0
2021-02-13,2285.0,710.0,592.0,12428.0
2021-02-14,2293.0,710.0,592.0,12428.0
2021-02-15,2302.0,716.0,593.0,12428.0
2021-02-16,2309.0,720.0,593.0,12487.0
2021-02-17,2317.0,723.0,607.0,12569.0
2021-02-18,2320.0,725.0,607.0,12598.0
2021-02-19,2328.0,725.0,607.0,12649.0
2021-02-20,2334.0,726.0,607.0,12649.0
2021-02-21,2339.0,726.0,607.0,12649.0
2021-02-22,2344.0,733.0,608.0,12649.0
2021-02-23,2344.0,734.0,608.0,12713.0
2021-02-24,2346.0,737.0,620.0,12793.0
2021-02-25,2352.0,740.0,620.0,12798.0
2021-02-26,2354.0,742.0,622.0,12826.0
2021-02-27,2359.0,742.0,622.0,12826.0
2021-02-28,2362.0,742.0,622.0,12826.0
2021-03-01,2366.0,750.0,623.0,12826.0
2021-03-02,2368.0,755.0,623.0,12882.0
2021-03-03,2371.0,759.0,632.0,12964.0
2021-03-04,2375.0,764.0,632.0,12977.0
2021-03-05,2378.0,767.0,632.0,13003.0
2021-03-06,2378.0,767.0,632.0,13003.0
2021-03-07,2380.0,767.0,632.0,13003.0
2021-03-08,2382.0,774.0,632.0,13003.0
2021-03-09,2382.0,776.0,632.0,13042.0
2021-03-10,2383.0,776.0,632.0,13088.0
2021-03-11,2385.0,776.0,639.0,13111.0
2021-03-12,2388.0,786.0,639.0,13146.0
2021-03-13,2391.0,786.0,639.0,13146.0
2021-03-14,2392.0,786.0,639.0,13146.0
2021-03-15,2394.0,800.0,640.0,13146.0
2021-03-16,2396.0,801.0,641.0,13172.0
2021-03-17,2397.0,804.0,648.0,13228.0
2021-03-18,2398.0,805.0,648.0,13236.0
2021-03-19,2398.0,805.0,648.0,13262.0
2021-03-20,2400.0,805.0,648.0,13262.0
2021-03-21,2401.0,805.0,648.0,13262.0
2021-03-22,2403.0,808.0,649.0,13262.0
2021-03-23,2404.0,808.0,649.0,13315.0
2021-03-24,2405.0,809.0,656.0,13357.0
2021-03-25,2410.0,815.0,656.0,13373.0
2021-03-26,2412.0,817.0,656.0,13402.0
2021-03-27,2414.0,817.0,656.0,13402.0
2021-03-28,2415.0,817.0,656.0,13402.0
2021-03-29,2416.0,822.0,660.0,13402.0
2021-03-30,2418.0,826.0,661.0,13430.0
2021-03-31,2420.0,844.0,673.0,13465.0
2021-04-01,2424.0,846.0,673.0,13498.0
2021-04-02,2425.0,846.0,673.0,13498.0
2021-04-03,2429.0,846.0,673.0,13498.0
2021-04-04,2430.0,846.0,673.0,13498.0
2021-04-05,2431.0,846.0,676.0,13498.0
2021-04-06,2433.0,860.0,677.0,13533.0
2021-04-07,2436.0,862.0,683.0,13578.0
2021-04-08,2437.0,866.0,684.0,13595.0
2021-04-09,2437.0,868.0,684.0,13621.0
2021-04-10,2440.0,868.0,684.0,13621.0
2021-04-11,2442.0,868.0,684.0,13621.0
2021-04-12,2444.0,874.0,687.0,13621.0
2021-04-13,2447.0,877.0,688.0,13660.0
2021-04-14,2448.0,881.0,706.0,13720.0
2021-04-15,2450.0,885.0,707.0,13761.0
2021-04-16,2453.0,887.0,708.0,13788.0
2021-04-17,2453.0,887.0,708.0,13788.0
2021-04-18,2456.0,887.0,708.0,13788.0
2021-04-19,2460.0,891.0,709.0,13788.0
2021-04-20,2464.0,893.0,709.0,13825.0
2021-04-21,2466.0,899.0,734.0,13863.0
2021-04-22,2468.0,902.0,735.0,13882.0
2021-04-23,2473.0,903.0,736.0,13923.0
