date,Clark,King,Kitsap,Pierce,Snohomish,Spokane,Thurston,Yakima
2020-10-13,3981.0,24349.0,1368.0,9876.0,8869.0,8254.0,1480.0,12577.0
2020-10-14,4031.0,24519.0,1379.0,9967.0,8951.0,8373.0,1502.0,12604.0
2020-10-15,4077.0,24668.0,1387.0,10074.0,9047.0,8499.0,1520.0,12634.0
2020-10-16,4120.0,24792.0,1398.0,10146.0,9125.0,8599.0,1556.0,12661.0
2020-10-17,4120.0,25011.0,1408.0,10240.0,9125.0,8599.0,1582.0,12673.0
2020-10-18,4120.0,25116.0,1414.0,10353.0,9125.0,8599.0,1594.0,12673.0
2020-10-19,4232.0,25288.0,1417.0,10401.0,9322.0,8774.0,1611.0,12687.0
2020-10-20,4283.0,25386.0,1426.0,10467.0,9402.0,8820.0,1626.0,12718.0
2020-10-21,4332.0,25559.0,1438.0,10585.0,9478.0,8922.0,1646.0,12741.0
2020-10-22,4379.0,25759.0,1446.0,10687.0,9562.0,9025.0,1663.0,12765.0
2020-10-23,4412.0,25988.0,1454.0,10826.0,9659.0,9099.0,1701.0,12803.0
2020-10-24,4412.0,26200.0,1461.0,10946.0,9659.0,9099.0,1721.0,12827.0
2020-10-25,4412.0,26360.0,1470.0,11056.0,9659.0,9158.0,1745.0,12827.0
2020-10-26,4569.0,26540.0,1477.0,11121.0,9891.0,9382.0,1767.0,12863.0
2020-10-27,4606.0,26640.0,1492.0,11185.0,9948.0,9493.0,1779.0,12886.0
2020-10-28,4668.0,26836.0,1507.0,11382.0,10025.0,9623.0,1805.0,12907.0
2020-10-29,4736.0,27057.0,1528.0,11499.0,10126.0,9727.0,1830.0,12936.0
2020-10-30,4803.0,27442.0,1548.0,11603.0,10219.0,9894.0,1865.0,12983.0
2020-10-31,4803.0,27776.0,1555.0,11697.0,10219.0,9894.0,1886.0,13027.0
2020-11-01,4803.0,27986.0,1576.0,11759.0,10219.0,9894.0,1910.0,13027.0
2020-11-02,5001.0,28281.0,1601.0,11986.0,10505.0,10209.0,1934.0,13085.0
2020-11-03,5085.0,28408.0,1613.0,12062.0,10587.0,10310.0,1968.0,13112.0
2020-11-04,5166.0,28967.0,1637.0,12276.0,10723.0,10403.0,1994.0,13144.0
2020-11-05,5235.0,29484.0,1649.0,12462.0,10877.0,10515.0,2021.0,13173.0
2020-11-06,5330.0,30016.0,1672.0,12602.0,11129.0,10699.0,2047.0,13220.0
2020-11-07,5330.0,30434.0,1698.0,12836.0,11129.0,10742.0,2066.0,13276.0
2020-11-08,5330.0,30885.0,1727.0,12971.0,11129.0,10921.0,2099.0,13276.0
2020-11-09,5619.0,31263.0,1750.0,13061.0,11609.0,11402.0,2122.0,13356.0
2020-11-10,5785.0,31595.0,1771.0,13214.0,11747.0,11537.0,2184.0,13356.0
2020-11-11,5785.0,31967.0,1771.0,13489.0,11747.0,11537.0,2231.0,13356.0
2020-11-12,6049.0,32589.0,1846.0,13734.0,12013.0,11904.0,2282.0,13477.0
2020-11-13,6162.0,33387.0,1888.0,13913.0,12301.0,12114.0,2370.0,13609.0
2020-11-14,6162.0,34014.0,1931.0,14215.0,12301.0,12114.0,2450.0,13655.0
2020-11-15,6162.0,34556.0,1966.0,14453.0,12301.0,12449.0,2488.0,13655.0
2020-11-16,6472.0,35228.0,1994.0,14685.0,12965.0,13047.0,2533.0,13775.0
2020-11-17,6749.0,35729.0,2046.0,14952.0,13111.0,13279.0,2594.0,13857.0
2020-11-18,6920.0,36012.0,2049.0,15120.0,13269.0,13441.0,2644.0,13930.0
2020-11-19,7082.0,36816.0,2077.0,15363.0,13428.0,13846.0,2685.0,14001.0
2020-11-20,7271.0,37454.0,2101.0,15618.0,13639.0,14067.0,2685.0,14098.0
2020-11-21,7271.0,38031.0,2123.0,15942.0,13639.0,14067.0,2685.0,14182.0
