date,California,Florida,Illinois,Indiana,Maryland,Massachusetts,Nevada,New York,North Carolina,Oregon,Pennsylvania,Washington,CAN,GBR,ITA,0
2020-06-01,115643.0,56822.0,121666.0,35684.0,54035.0,100805.0,8701.0,376520.0,29368.0,4303.0,76734.0,23272.0,93288.0,258983.0,233197.0,91068.0
2020-06-02,118081.0,57439.0,123244.0,36129.0,54831.0,101163.0,8858.0,377881.0,30052.0,4338.0,77315.0,23608.0,93960.0,260453.0,233515.0,93031.0
2020-06-03,120407.0,58756.0,124279.0,36609.0,55617.0,101592.0,8950.0,378924.0,31013.0,4399.0,77871.0,23776.0,94641.0,261802.0,233836.0,94902.0
2020-06-04,122917.0,60175.0,125149.0,37005.0,56490.0,102063.0,9118.0,379977.0,32276.0,4475.0,78428.0,23999.0,95269.0,263040.0,234013.0,96933.0
2020-06-05,126510.0,61480.0,126317.0,37499.0,57407.0,102557.0,9306.0,381019.0,33417.0,4585.0,78908.0,24546.0,95947.0,264150.0,234531.0,99693.0
2020-06-06,129147.0,62750.0,127251.0,37928.0,58099.0,103132.0,9494.0,382102.0,34809.0,4672.0,79507.0,24767.0,96475.0,264944.0,234801.0,101754.0
2020-06-07,131997.0,63930.0,128070.0,38328.0,58593.0,103436.0,9673.0,382879.0,35663.0,4809.0,80001.0,25064.0,97178.0,265662.0,234998.0,104124.0
2020-06-08,134287.0,64896.0,129543.0,38553.0,59024.0,103626.0,9815.0,383591.0,36581.0,4927.0,80432.0,25593.0,97779.0,266756.0,235278.0,105732.0
2020-06-09,137245.0,65992.0,130321.0,38985.0,59543.0,103889.0,10046.0,384281.0,37393.0,5027.0,80964.0,25796.0,98241.0,267915.0,235561.0,107942.0
2020-06-10,140139.0,67363.0,130889.0,39297.0,60114.0,104156.0,10216.0,384945.0,38305.0,5099.0,81410.0,25940.0,98720.0,269101.0,235763.0,110365.0
2020-06-11,143709.0,69061.0,131731.0,39714.0,60823.0,104667.0,10464.0,385669.0,39735.0,5252.0,81944.0,26172.0,99159.0,270108.0,236142.0,113302.0
2020-06-12,147285.0,70963.0,132489.0,40114.0,61262.0,105059.0,10704.0,386490.0,41467.0,5388.0,82578.0,26576.0,99595.0,271162.0,236305.0,116104.0
2020-06-13,150434.0,73544.0,133117.0,40535.0,61935.0,105395.0,10992.0,387402.0,42911.0,5543.0,82988.0,26920.0,100043.0,272050.0,236651.0,118806.0
2020-06-14,152953.0,75560.0,133719.0,40901.0,62328.0,105603.0,11199.0,388096.0,44199.0,5644.0,83301.0,27135.0,100404.0,272857.0,236989.0,120732.0
2020-06-15,155662.0,77318.0,134247.0,41422.0,62653.0,105690.0,11316.0,388719.0,45257.0,5831.0,83687.0,27577.0,100763.0,273888.0,237290.0,122727.0
